A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
AT5G66560.1	Gelse_mpi.v2.1_MPIG050030.1	CRO_01G006390.2	Phototropic-responsive NPH3 family protein	NA
NA	Gelse_mpi.v2.1_MPIG050020.1	CRO_01G006400.1	NA	NA
AT2G23670.1	Gelse_mpi.v2.1_MPIG050000.1	NA	homolog of Synechocystis YCF37	NA
AT4G37210.1	Gelse_mpi.v2.1_MPIG050010.3	CRO_01G006410.1	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
AT2G23450.2	Gelse_mpi.v2.1_MPIG049980.4	CRO_01G006430.1	Protein kinase superfamily protein	NA
AT4G37200.1	Gelse_mpi.v2.1_MPIG049990.1	CRO_01G006420.1	Thioredoxin superfamily protein	Encodes thioredoxin-like protein with disulfide reductase activity that is involved in the biogenesis of the plastid cytochrome b6f complex.  Protein is located in the thylakoid membrane with the C-terminal hydrophilic portion, containing the thioredoxin like domain, extending into the thylakoid lumen.
AT4G37090.1	Gelse_mpi.v2.1_MPIG049970.1	CRO_01G006440.2	NA	NA
AT5G66985.1	Gelse_mpi.v2.1_MPIG049960.1	CRO_01G006450.1	NA	NA
AT3G50380.1	Gelse_mpi.v2.1_MPIG049940.1	CRO_01G006460.2	Protein of unknown function (DUF1162)	NA
NA	Gelse_mpi.v2.1_MPIG049930.1	NA	NA	NA
AT3G50390.1	Gelse_mpi.v2.1_MPIG049920.1	CRO_01G006470.1	Transducin/WD40 repeat-like superfamily protein	NA
AT4G37095.1	NA	NA	NA	NA
AT2G23460.1	Gelse_mpi.v2.1_MPIG049910.1	CRO_01G006480.1	extra-large G-protein 1	encodes a novel G-alpha protein that shares similarity to plant, yeast, and animal G-alpha proteins at the C-terminus. It contains an N-terminus that is as large as the C-terminus, is a member of a small family, and is expressed in all tissues examined, including roots, leaves, stems, flowers, and fruits.
AT2G23470.1	Gelse_mpi.v2.1_MPIG049900.3	CRO_01G006490.2	Protein of unknown function, DUF647	NA
NA	Gelse_mpi.v2.1_MPIG049890.1	CRO_01G006500.1	NA	NA
AT5G66980.1	NA	NA	AP2/B3-like transcriptional factor family protein	NA
AT5G66970.1	NA	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein	NA
AT2G23510.1	NA	NA	spermidine disinapoyl acyltransferase	NA
AT2G25150.1	NA	NA	HXXXD-type acyl-transferase family protein	NA
NA	NA	CRO_01G006520.1	NA	NA
AT5G66960.1	Gelse_mpi.v2.1_MPIG049860.1	CRO_01G006540.1	Prolyl oligopeptidase family protein	NA
NA	Gelse_mpi.v2.1_MPIG049880.1	CRO_01G006530.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049870.1	NA	NA	NA
AT4G37110.1	NA	NA	Zinc-finger domain of monoamine-oxidase A repressor R1	NA
AT3G50400.1	NA	NA	GDSL-like Lipase/Acylhydrolase superfamily protein	NA
AT4G37100.1	Gelse_mpi.v2.1_MPIG049850.1	CRO_01G006550.1	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	NA
AT2G23520.1	Gelse_mpi.v2.1_MPIG049850.1	CRO_01G006550.1	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	NA
NA	NA	CRO_01G006560.1	NA	NA
AT5G66950.1	NA	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	NA
AT2G23530.1	NA	NA	Zinc-finger domain of monoamine-oxidase A repressor R1	NA
AT4G37120.1	NA	NA	Pre-mRNA splicing Prp18-interacting factor	Encodes a zinc finger containing protein similar to step II splicing factors that is similar to SMP1. SMP2 is also reduced in SMP1 epigenetic alleles; plants make smaller organs having reduced cell numbers but increased cell size.
NA	Gelse_mpi.v2.1_MPIG049840.2	CRO_01G006570.2	NA	NA
AT2G23540.1	Gelse_mpi.v2.1_MPIG049830.2	CRO_01G006580.1	GDSL-like Lipase/Acylhydrolase superfamily protein	NA
AT3G50410.1	Gelse_mpi.v2.1_MPIG049820.1	CRO_01G006590.1	OBF binding protein 1	Arabidopsis Dof protein containing a single 51-amino acid zinc finger DNA-binding domain, which may play an important roles in plant growth and development.
AT5G66940.1	Gelse_mpi.v2.1_MPIG049820.1	CRO_01G006590.1	Dof-type zinc finger DNA-binding family protein	NA
AT4G37130.1	Gelse_mpi.v2.1_MPIG049810.1	CRO_01G006600.2	hydroxyproline-rich glycoprotein family protein	NA
NA	Gelse_mpi.v2.1_MPIG049800.1	NA	NA	NA
AT3G50420.1	NA	CRO_01G006610.1	Pentatricopeptide repeat (PPR) superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG049790.1	NA	NA	NA
AT3G50430.1	Gelse_mpi.v2.1_MPIG049780.2	CRO_01G006620.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049760.1	CRO_01G006630.1	NA	NA
NA	NA	CRO_01G006680.1	NA	NA
AT2G23570.1	NA	NA	methyl esterase 19	Encodes a protein with similarity to SABP2, a methyl salicylate esterase from tobacco. However, this protein is truncated and lacks one of the residues of the predicted catalytic triad, suggesting that it does not have this enzymatic activity.
NA	NA	CRO_01G006670.1	NA	NA
AT4G37150.1	NA	NA	methyl esterase 9	Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES9 appears to be involved in MeSA hydrolysis in planta. Expression of MES9 can restore systemic acquired resistance in SAR-deficient tobacco plants. This protein does not act on MeGA4, or MEGA9 in vitro.
AT2G23600.1	Gelse_mpi.v2.1_MPIG049750.1	CRO_01G006720.2	acetone-cyanohydrin lyase	Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES2 appears to be involved in MeSA hydrolysis in planta. This protein does not act on MeGA4, or MEGA9 in vitro.
AT3G50440.1	NA	NA	methyl esterase 10	Encodes a protein shown to have methyl jasmonate esterase activity in vitro. This protein does not act on methyl IAA, MeSA, MeGA4, or MEGA9 in vitro.
NA	Gelse_mpi.v2.1_MPIG049740.1	CRO_01G006740.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049730.5	CRO_01G006750.1	NA	NA
AT5G66930.3	Gelse_mpi.v2.1_MPIG049720.3	CRO_01G006760.9	NA	NA
NA	Gelse_mpi.v2.1_MPIG049710.1	NA	NA	NA
NA	NA	CRO_01G006770.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049700.1	CRO_01G006780.1	NA	NA
AT4G37160.1	Gelse_mpi.v2.1_MPIG049690.1	CRO_01G006790.1	SKU5  similar 15	NA
AT2G23630.1	Gelse_mpi.v2.1_MPIG049690.1	CRO_01G006790.1	SKU5  similar 16	NA
AT3G50470.1	NA	NA	homolog of RPW8 3	Homolog of RPW8
AT5G66920.1	Gelse_mpi.v2.1_MPIG049680.3	CRO_01G006800.1	SKU5  similar 17	NA
AT2G23640.1	Gelse_mpi.v2.1_MPIG049670.2	CRO_01G006810.1	Reticulan like protein B13	NA
AT4G37170.1	Gelse_mpi.v2.1_MPIG049660.1	CRO_01G006820.1	Pentatricopeptide repeat (PPR) superfamily protein	NA
AT5G66900.1	NA	CRO_01G006830.2	Disease resistance protein (CC-NBS-LRR class) family	NA
AT3G50500.2	Gelse_mpi.v2.1_MPIG049650.1	CRO_01G006840.5	SNF1-related protein kinase 2.2	encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.
AT5G66880.1	Gelse_mpi.v2.1_MPIG049650.1	CRO_01G006840.5	sucrose nonfermenting 1(SNF1)-related protein kinase 2.3	encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.
NA	Gelse_mpi.v2.1_MPIG049640.13	CRO_01G006850.2	NA	NA
AT4G37180.2	Gelse_mpi.v2.1_MPIG049630.1	CRO_01G006860.1	Homeodomain-like superfamily protein	myb family transcription factor, contains Pfam domain, PF00249: Myb-like DNA-binding domain l; also isolated as a putative cytoskeletal protein in a yeast screen
AT5G66870.1	Gelse_mpi.v2.1_MPIG049620.7	CRO_01G006870.2	ASYMMETRIC LEAVES 2-like 1	Encodes LOB domain protein whose overexpression results in KNOX gene repression. Overexpression also results in plants with hyponastic leaves, downward pointing flowers and reduced apical dominance.  May be involved in the transcriptional regulation of the homeobox gene BP (brevipedicellus) during lateral organ differentiation.  Acts together with AS2 in proximal-distal symmetry determination.
AT2G23660.1	Gelse_mpi.v2.1_MPIG049620.7	CRO_01G006870.2	LOB domain-containing protein 10	NA
AT5G66860.1	NA	CRO_01G006880.1	Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain	NA
AT5G66850.1	Gelse_mpi.v2.1_MPIG049610.1	CRO_01G006890.5	mitogen-activated protein kinase kinase kinase 5	member of MEKK subfamily
NA	Gelse_mpi.v2.1_MPIG049600.3	CRO_01G006900.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049590.1	NA	NA	NA
NA	NA	CRO_01G006910.2	NA	NA
NA	Gelse_mpi.v2.1_MPIG049580.2	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049570.2	CRO_01G006920.1	NA	NA
AT3G50510.1	NA	NA	LOB domain-containing protein 28	NA
NA	Gelse_mpi.v2.1_MPIG049560.1	CRO_01G006940.1	NA	NA
NA	NA	CRO_01G006950.1	NA	NA
AT3G50520.1	Gelse_mpi.v2.1_MPIG049550.1	CRO_01G006970.6	Phosphoglycerate mutase family protein	NA
AT3G50530.2	Gelse_mpi.v2.1_MPIG049540.2	CRO_01G006980.1	CDPK-related kinase	CDPK-related kinase
AT3G50540.1	NA	NA	NA	NA
AT5G66840.1	Gelse_mpi.v2.1_MPIG049530.2	CRO_01G006990.2	SAP domain-containing protein	NA
AT3G50550.1	NA	NA	NA	NA
AT3G50560.1	Gelse_mpi.v2.1_MPIG049520.1	CRO_01G007000.2	NAD(P)-binding Rossmann-fold superfamily protein	NA
AT3G50580.1	NA	NA	NA	NA
NA	NA	CRO_01G007020.1	NA	NA
AT3G50590.1	Gelse_mpi.v2.1_MPIG049510.1	CRO_01G007030.1	Transducin/WD40 repeat-like superfamily protein	NA
AT4G37080.2	Gelse_mpi.v2.1_MPIG049500.2	CRO_01G007040.1	Protein of unknown function, DUF547	NA
NA	NA	CRO_01G007050.1	NA	NA
AT5G66820.1	Gelse_mpi.v2.1_MPIG049490.5	CRO_01G007060.1	NA	NA
AT3G50610.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049470.1	NA	NA	NA
NA	NA	CRO_01G007070.1	NA	NA
AT2G23440.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049460.1	CRO_01G007080.1	NA	NA
AT5G66816.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049450.1	CRO_01G007090.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049440.1	CRO_01G007100.1	NA	NA
AT5G66815.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049430.5	NA	NA	NA
AT3G50620.1	NA	CRO_01G007110.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	NA
AT4G37060.2	Gelse_mpi.v2.1_MPIG049390.2	CRO_01G007120.1	PATATIN-like protein 5	Patatin-related phospholipase A. Expressed weakly in roots, cotyledons, and leaves but is transcriptionally induced  by auxin. Phosphorylation by calcium-dependent protein kinases in vitro  enhances its activity.
AT5G66810.1	Gelse_mpi.v2.1_MPIG049400.2	CRO_01G007130.4	NA	NA
AT4G37040.1	Gelse_mpi.v2.1_MPIG049370.1	CRO_01G007140.5	methionine aminopeptidase 1D	encodes a methionine aminopeptidase
NA	Gelse_mpi.v2.1_MPIG049360.1	NA	NA	NA
AT2G23430.1	Gelse_mpi.v2.1_MPIG049350.2	CRO_01G007150.5	Cyclin-dependent kinase inhibitor family protein	Encodes a cyclin-dependent kinase inhibitor protein that functions as a negative regulator of cell division and promoter of endoreduplication.  A member of seven KRP genes found in Arabidopsis thaliana. Differential expression patterns for distinct KRPs were revealed by in situ hybridization. Both SKP2b and RKP appear to be involved in the degradation of KRP1.
AT4G37030.1	Gelse_mpi.v2.1_MPIG049340.4	CRO_01G007160.3	NA	NA
NA	NA	CRO_01G007170.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049330.4	CRO_01G007180.2	NA	NA
AT4G37022.1	NA	NA	NA	NA
AT3G50640.1	Gelse_mpi.v2.1_MPIG049320.1	CRO_01G007190.1	NA	NA
AT5G66800.1	Gelse_mpi.v2.1_MPIG049320.1	CRO_01G007190.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049310.2	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG049300.1	CRO_01G007200.1	NA	NA
AT4G37020.2	Gelse_mpi.v2.1_MPIG049280.2	CRO_01G007210.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG049270.1	NA	NA	NA
AT3G50370.1	Gelse_mpi.v2.1_MPIG049260.4	CRO_01G007220.2	NA	NA
NA	Gelse_mpi.v2.1_MPIG049250.2	CRO_01G007230.1	NA	NA
AT3G13480.1	Gelse_mpi.v2.3_MPIG016910.3	CRO_01G007240.1	NA	NA
AT1G55475.1	Gelse_mpi.v2.3_MPIG016910.3	CRO_01G007240.1	NA	NA
AT3G13490.1	Gelse_mpi.v2.3_MPIG016900.1	CRO_01G007250.5	Lysyl-tRNA synthetase, class II	Encodes a dual targeted lysyl-tRNA ligase that is found both in the mitochondrion and the chloroplast.  Plants mutated in this gene exhibit an ovule abortion phenotype.
NA	NA	CRO_01G007260.1	NA	NA
AT3G13500.1	Gelse_mpi.v2.3_MPIG016880.1	NA	NA	NA
AT5G56520.1	Gelse_mpi.v2.3_MPIG016880.1	NA	NA	NA
AT1G55365.1	Gelse_mpi.v2.3_MPIG016880.1	NA	NA	NA
NA	Gelse_mpi.v2.3_MPIG016860.1	CRO_01G007270.2	NA	NA
NA	Gelse_mpi.v2.3_MPIG016850.6	NA	NA	NA
AT3G13510.1	Gelse_mpi.v2.3_MPIG016840.1	CRO_01G007280.1	Protein of Unknown Function (DUF239)	NA
AT5G56530.1	Gelse_mpi.v2.3_MPIG016840.1	CRO_01G007280.1	Protein of Unknown Function (DUF239)	NA
AT1G55360.1	Gelse_mpi.v2.3_MPIG016840.1	CRO_01G007280.1	Protein of Unknown Function (DUF239)	NA
AT1G55350.5	Gelse_mpi.v2.3_MPIG016770.1	CRO_01G007290.1	calpain-type cysteine protease family	Similar to maize DEK1, a gene encoding a membrane protein of the calpain gene superfamily required for aleurone cell development in the endosperm of maize grains. A key component of the embryonic L1 cell-layer specification pathway.
NA	NA	CRO_01G007300.1	NA	NA
NA	Gelse_mpi.v2.3_MPIG016780.5	CRO_01G007310.5	NA	NA
AT1G55330.1	NA	NA	arabinogalactan protein 21	Encodes a putative arabinogalactan-protein (AGP21).
NA	Gelse_mpi.v2.3_MPIG016790.1	CRO_01G007320.1	NA	NA
NA	NA	CRO_01G007330.1	NA	NA
AT3G13520.1	NA	NA	arabinogalactan protein 12	Encodes a GPI-anchored arabinogalactan (AG) peptide with a short 'classical' backbone of 10 amino acids, seven of which are conserved among the 4 other Arabidopsis AG peptides.  These peptides may be involved in cell signaling.
AT5G56540.1	NA	NA	arabinogalactan protein 14	Encodes arabinogalactan protein (AGP14).
AT1G55325.2	Gelse_mpi.v2.3_MPIG016800.1	CRO_01G007340.9	RNA polymerase II transcription mediators	Encodes the Arabidopsis homolog of the transcriptional regulator MED13, is dynamically expressed during embryogenesis and regulates both developmental timing and the radial pattern formation.
NA	Gelse_mpi.v2.3_MPIG016810.1	NA	NA	NA
AT5G59180.1	Gelse_mpi.v2.5_MPIG010920.1	CRO_01G007350.1	DNA-directed RNA polymerase II	Non-catalytic subunit specific to DNA-directed RNA polymerase II; the ortholog of budding yeast RPB7
AT3G46790.1	Gelse_mpi.v2.5_MPIG010930.1	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	Encodes a member of a PCMP (plant combinatorial and modular protein) family (PCMP-H subfamily) with 9 pentatricopeptide (PPR) repeats. The protein is involved the intergenic processing of chloroplast RNA between rps7 and ndhB, which is essential for ndhB translation.
NA	Gelse_mpi.v2.5_MPIG010950.1	NA	NA	NA
AT5G59200.1	NA	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	Encodes a chloroplast RNA editing factor.
AT4G37140.1	NA	CRO_01G007370.1	alpha/beta-Hydrolases superfamily protein	Encodes a protein with similarity to SABP2, a methyl salicylate esterase from tobacco. However, this protein is truncated and lacks two of the residues of the predicted catalytic triad, suggesting that it does not have this enzymatic activity.
NA	Gelse_mpi.v2.5_MPIG010970.1	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG010960.1	NA	NA	NA
AT1G07420.1	Gelse_mpi.v2.5_MPIG010980.1	CRO_01G007380.4	sterol 4-alpha-methyl-oxidase 2-1	Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA
AT2G29390.1	Gelse_mpi.v2.5_MPIG010980.1	CRO_01G007380.4	sterol 4-alpha-methyl-oxidase 2-2	Encodes a sterol 4-alpha-methyl-oxidase, specifically a 4-alpha-methyl-delta-7-sterol-4alpha-methyl-oxidase.
AT5G59210.1	Gelse_mpi.v2.5_MPIG010940.1	NA	myosin heavy chain-related	NA
AT5G59220.1	Gelse_mpi.v2.5_MPIG010990.1	CRO_01G007390.1	highly ABA-induced PP2C gene 1	NA
AT2G29380.1	Gelse_mpi.v2.5_MPIG010990.1	CRO_01G007390.1	highly ABA-induced PP2C gene 3	NA
NA	Gelse_mpi.v2.5_MPIG011000.2	NA	NA	NA
AT1G07430.1	NA	NA	highly ABA-induced PP2C gene 2	NA
NA	Gelse_mpi.v2.5_MPIG011020.1	NA	NA	NA
AT2G29260.1	NA	CRO_01G007400.1	NAD(P)-binding Rossmann-fold superfamily protein	NA
NA	Gelse_mpi.v2.5_MPIG011030.1	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011040.1	CRO_01G007410.1	NA	NA
AT1G07440.1	NA	NA	NAD(P)-binding Rossmann-fold superfamily protein	NA
NA	Gelse_mpi.v2.5_MPIG011060.1	CRO_01G007420.1	NA	NA
AT5G59230.1	NA	NA	transcription factor-related	NA
AT2G29220.1	NA	NA	Concanavalin A-like lectin protein kinase family protein	NA
AT3G46780.1	Gelse_mpi.v2.5_MPIG011070.1	CRO_01G007430.1	plastid transcriptionally active 16	NA
NA	Gelse_mpi.v2.5_MPIG011080.1	NA	NA	NA
NA	NA	CRO_01G007440.1	NA	NA
AT2G29210.1	Gelse_mpi.v2.5_MPIG011090.1	CRO_01G007450.1	splicing factor PWI domain-containing protein	NA
AT1G07460.1	NA	NA	Concanavalin A-like lectin family protein	NA
AT3G46770.1	NA	NA	AP2/B3-like transcriptional factor family protein	NA
AT5G59240.1	NA	NA	Ribosomal protein S8e family protein	NA
NA	NA	CRO_01G007460.1	NA	NA
AT1G07470.1	Gelse_mpi.v2.5_MPIG011100.1	CRO_01G007470.1	Transcription factor IIA, alpha/beta subunit	NA
NA	Gelse_mpi.v2.5_MPIG011110.1	CRO_01G007480.1	NA	NA
AT3G46760.1	NA	NA	Protein kinase superfamily protein	NA
AT5G59250.1	Gelse_mpi.v2.5_MPIG011120.1	CRO_01G007490.1	Major facilitator superfamily protein	NA
NA	Gelse_mpi.v2.5_MPIG011130.1	CRO_01G007500.1	NA	NA
AT3G46750.1	Gelse_mpi.v2.5_MPIG011140.1	CRO_01G007510.1	NA	NA
NA	Gelse_mpi.v2.5_MPIG011150.1	CRO_01G007520.2	NA	NA
AT3G46740.1	Gelse_mpi.v2.5_MPIG011160.1	CRO_01G007530.1	translocon at the outer envelope membrane of chloroplasts 75-III	Component of the translocon outer membrane (TOC) complex. Forms the outer envelope translocation channel (beta-barrel). Plays a role in preprotein conductance. Imported into chloroplast. Expressed in young dividing photosynthetic tissues. Knockout mutants are embryo lethal with arrested development at the two-cell stage. Knockout mutants have abnormal etioplasts.
AT1G07476.1	NA	NA	NA	NA
AT3G46710.1	NA	NA	NB-ARC domain-containing disease resistance protein	NA
AT5G59610.1	Gelse_mpi.v2.5_MPIG011170.2	CRO_01G007540.1	Chaperone DnaJ-domain superfamily protein	NA
AT3G46680.1	NA	NA	UDP-Glycosyltransferase superfamily protein	NA
AT5G59600.1	Gelse_mpi.v2.5_MPIG011190.3	CRO_01G007550.1	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
AT3G46666.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011200.1	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011180.1	NA	NA	NA
AT3G46640.3	Gelse_mpi.v2.5_MPIG011210.1	CRO_01G007560.3	Homeodomain-like superfamily protein	Encodes a myb family transcription factor with a single Myb DNA-binding domain (type SHAQKYF) that is unique to plants and is essential for circadian rhythms, specifically for transcriptional regulation within the circadian clock.   LUX is required for normal rhythmic expression of multiple clock outputs in both constant light and darkness.  It is coregulated with TOC1 and seems to be repressed by CCA1 and LHY by direct binding of these proteins to the evening element in the LUX promoter.
AT5G59570.1	Gelse_mpi.v2.5_MPIG011210.1	CRO_01G007560.3	Homeodomain-like superfamily protein	NA
AT5G59580.1	NA	NA	UDP-glucosyl transferase 76E1	NA
AT2G29180.1	Gelse_mpi.v2.5_MPIG011220.3	CRO_01G007570.1	NA	NA
AT2G29190.1	Gelse_mpi.v2.5_MPIG011230.3	CRO_01G007580.5	pumilio 2	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.
AT5G59560.1	NA	NA	sensitivity to red light reduced protein (SRR1)	Encodes a novel protein conserved in higher eukaryotes. Normal function of the protein is required for normal oscillator function during circadian rhythm. Mutant analyses also suggest a role in phytochrome B (phyB)-mediated light signaling.
NA	NA	CRO_01G007590.1	NA	NA
AT3G46630.1	NA	NA	Protein of unknown function (DUF3223)	NA
AT3G46620.1	Gelse_mpi.v2.5_MPIG011240.1	CRO_01G007600.1	zinc finger (C3HC4-type RING finger) family protein	NA
AT5G59550.1	Gelse_mpi.v2.5_MPIG011240.1	CRO_01G007600.1	zinc finger (C3HC4-type RING finger) family protein	NA
AT1G07485.1	NA	NA	NA	NA
AT2G29170.1	NA	NA	NAD(P)-binding Rossmann-fold superfamily protein	NA
NA	Gelse_mpi.v2.5_MPIG011250.1	NA	NA	NA
AT5G59540.1	NA	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
NA	Gelse_mpi.v2.5_MPIG011260.1	CRO_01G007610.3	NA	NA
AT5G59520.1	Gelse_mpi.v2.5_MPIG011270.1	CRO_01G007620.1	ZRT/IRT-like protein 2	encodes a metal ion transporter whose expression is regulated by copper.
AT2G29130.1	Gelse_mpi.v2.5_MPIG011280.1	CRO_01G007630.1	laccase 2	putative laccase, knockout mutant had reduced root elongation under PEG-induced dehydration
AT5G59510.1	NA	NA	ROTUNDIFOLIA like 5	NA
AT1G07490.1	Gelse_mpi.v2.5_MPIG011290.1	CRO_01G007650.1	ROTUNDIFOLIA like 3	NA
AT2G29125.1	Gelse_mpi.v2.5_MPIG011290.1	CRO_01G007650.1	ROTUNDIFOLIA like 2	NA
NA	Gelse_mpi.v2.5_MPIG011300.1	NA	NA	NA
AT2G29110.1	NA	NA	glutamate receptor 2.8	member of Putative ligand-gated ion channel subunit family
NA	Gelse_mpi.v2.5_MPIG011310.1	CRO_05G028070.1,CRO_01G007660.1	NA	NA
AT3G46616.1	NA	NA	NA	NA
AT1G07500.1	NA	NA	NA	NA
AT2G29090.1	Gelse_mpi.v2.5_MPIG011320.4	CRO_01G007670.1	cytochrome P450, family 707, subfamily A, polypeptide 2	Encodes a protein with ABA 8'-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family. This gene predominantly accumulates in dry seeds and is up-regulated immediately following imbibition. CYP707A2 appears to play a major role in the rapid decrease in ABA levels during early seed imbibition.
AT5G59500.1	Gelse_mpi.v2.5_MPIG011330.1	CRO_01G007680.2	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferases	NA
NA	NA	CRO_01G007690.1	NA	NA
AT5G59490.1	NA	NA	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	NA
AT3G46613.1	NA	NA	ROTUNDIFOLIA like 4	Encodes a small  is a member of an angiosperm specific gene family.
AT1G07510.1	Gelse_mpi.v2.5_MPIG011340.1	CRO_01G007700.1	FTSH protease 10	encodes an FtsH protease that is localized to the mitochondrion
AT2G29080.1	Gelse_mpi.v2.5_MPIG011340.1	CRO_01G007700.1	FTSH protease 3	encodes an FtsH protease that is localized to the mitochondrion
NA	Gelse_mpi.v2.5_MPIG011350.1	NA	NA	NA
AT5G59480.1	Gelse_mpi.v2.5_MPIG011360.1	CRO_01G007710.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	NA
AT5G59470.1	NA	NA	Mannose-P-dolichol utilization defect 1 protein	NA
AT3G46610.1	NA	NA	Pentatricopeptide repeat (PPR-like) superfamily protein	NA
AT2G29070.2	Gelse_mpi.v2.5_MPIG011380.1	CRO_01G007740.2	Ubiquitin fusion degradation UFD1 family protein	NA
AT1G07520.1	NA	NA	GRAS family transcription factor	NA
AT5G59460.1	Gelse_mpi.v2.5_MPIG011390.1	CRO_01G007750.2	scarecrow-like transcription factor 11 (SCL11)	NA
NA	Gelse_mpi.v2.5_MPIG011400.1	CRO_01G007760.1	NA	NA
AT2G29065.1	NA	NA	GRAS family transcription factor	NA
AT3G46600.1	Gelse_mpi.v2.5_MPIG011410.1	CRO_01G007770.1	GRAS family transcription factor	NA
AT5G59450.1	Gelse_mpi.v2.5_MPIG011410.1	CRO_01G007770.1	GRAS family transcription factor	NA
NA	Gelse_mpi.v2.5_MPIG011420.1	NA	NA	NA
AT5G59440.3	NA	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Encodes thymidylate kinase which exists in two isoforms in plants. The longer variant of  263 amino acids with a N-terminal extension that is required for localization to the mitochondrion. The second isoform of 224 residues is localized to the cytoplasm and nucleoplasm. Peak of expression occurs during G1/S phase transition.
NA	Gelse_mpi.v2.5_MPIG011450.1	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011440.2	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011460.1	NA	NA	NA
NA	Gelse_mpi.v2.5_MPIG011470.5	NA	NA	NA
AT1G07530.1	Gelse_mpi.v2.5_MPIG011480.1	CRO_01G007790.4	SCARECROW-like 14	Encodes a member of the GRAS family of transcription factors. The protein interacts with the TGA2 transcription factor and affects the transcription of stress-responsive genes. The protein is found in the nucleus and is also exported to the cytoplasm.
AT2G29060.1	Gelse_mpi.v2.5_MPIG011480.1	CRO_01G007790.4	GRAS family transcription factor	NA
AT5G59430.1	NA	NA	telomeric repeat binding protein 1	Encodes a telomeric repeat binding protein with a DNA binding domain at its C terminus. The DNA binding domain has a preference for GGTTTAG sequences and at least five of these repeats are required for recognition by a nearly full-length TRP1 protein.
NA	Gelse_mpi.v2.5_MPIG011490.1	NA	NA	NA
AT1G07540.1	Gelse_mpi.v2.5_MPIG011500.10	CRO_01G007800.2	TRF-like 2	Arabidopsis thaliana telomere-binding protein, putative (At1g07540)
AT2G29050.1	NA	NA	RHOMBOID-like 1	NA
AT5G59420.1	Gelse_mpi.v2.5_MPIG011510.1	CRO_01G007810.2	OSBP(oxysterol binding protein)-related protein 3C	NA
AT5G59410.1	Gelse_mpi.v2.5_MPIG011530.1	CRO_01G007820.1	Rab5-interacting family protein	NA
