A.thaliana	G.sempervirens	C.roseus
AT4G02020.1	Gelse_mpi.v2.5_MPIG000870.1	CRO_02G000010.3
	Gelse_mpi.v2.5_MPIG000860.1	CRO_02G000020.1
	Gelse_mpi.v2.5_MPIG000850.1	CRO_02G000030.1
AT2G47360.1	Gelse_mpi.v2.5_MPIG000840.1	CRO_02G000040.1
AT1G02570.1	Gelse_mpi.v2.5_MPIG000840.1	CRO_02G000040.1
	Gelse_mpi.v2.5_MPIG000830.1	
		
	Gelse_mpi.v2.5_MPIG000820.1	
	Gelse_mpi.v2.5_MPIG000810.1	CRO_02G000050.2
AT1G02560.1	Gelse_mpi.v2.5_MPIG000800.1	CRO_02G000060.1
		
		
		
		
AT2G47350.1	Gelse_mpi.v2.4_MPIG006730.4,Gelse_mpi.v2.5_MPIG000790.1	CRO_08G019230.3,CRO_02G000070.2
AT1G56460.2	Gelse_mpi.v2.4_MPIG006730.4,Gelse_mpi.v2.5_MPIG000790.1	CRO_08G019230.3,CRO_02G000070.2
		
		
		
	Gelse_mpi.v2.5_MPIG000780.1	CRO_02G000080.2
		
AT2G47340.1		
		
		
AT4G02010.1	Gelse_mpi.v2.5_MPIG000770.5	CRO_02G000090.2
		
		
AT2G47330.1	Gelse_mpi.v2.5_MPIG000760.2	CRO_02G000100.1
		
AT4G01995.1	Gelse_mpi.v2.5_MPIG000750.3	CRO_02G000110.2
AT2G47320.1	Gelse_mpi.v2.5_MPIG000740.1	
		
AT1G02370.1		CRO_02G000120.1
AT4G01990.1		CRO_02G000120.1
		
		
		
AT2G47300.2	Gelse_mpi.v2.5_MPIG000730.1	CRO_02G000140.1
		
		
AT4G01985.1		
	Gelse_mpi.v2.5_MPIG000710.1	CRO_02G000150.1
		
AT3G62360.1	Gelse_mpi.v2.5_MPIG000700.2	CRO_02G000160.1
		
AT2G47280.1		
		
		
	Gelse_mpi.v2.5_MPIG000680.2	CRO_02G000170.1
		
		
		
		
AT4G01970.1	Gelse_mpi.v2.5_MPIG000670.1	CRO_02G000180.1
		
AT2G47270.1	Gelse_mpi.v2.5_MPIG000660.2	CRO_02G000190.1
AT2G47260.1	Gelse_mpi.v2.5_MPIG000650.1	CRO_02G000200.2
AT3G62340.1	Gelse_mpi.v2.5_MPIG000650.1	CRO_02G000200.2
	Gelse_mpi.v2.5_MPIG000640.1	
		
AT4G01960.1		
AT2G47310.1	Gelse_mpi.v2.5_MPIG000630.1	CRO_02G000210.3
		
		
AT2G47250.1	Gelse_mpi.v2.5_MPIG000620.3	
AT3G62310.1	Gelse_mpi.v2.5_MPIG000620.3	
		
AT3G62336.1		
		
		
		
		CRO_02G000220.3
	Gelse_mpi.v2.5_MPIG000610.1	
		
AT2G47240.1	Gelse_mpi.v2.5_MPIG000600.1	CRO_02G000230.1
		
		
		
AT3G62330.1		
	Gelse_mpi.v2.5_MPIG000590.1	CRO_02G000240.7
		
		
		
	Gelse_mpi.v2.5_MPIG000580.1	CRO_02G000250.10
		
		
AT3G62320.1		
AT4G01940.1	Gelse_mpi.v2.5_MPIG000560.2	CRO_02G000260.1
AT2G47220.1		
AT4G01935.1	Gelse_mpi.v2.5_MPIG000570.1	CRO_02G000270.1
		
		
AT2G47210.1	Gelse_mpi.v2.5_MPIG000550.5	CRO_02G000280.2
		
	Gelse_mpi.v2.5_MPIG000540.1	
		
		
AT1G02400.1	Gelse_mpi.v2.5_MPIG000530.1	CRO_02G000290.1
AT3G62300.2		
AT2G47200.1		
		CRO_02G000300.1
		
AT4G01915.3		
	Gelse_mpi.v2.5_MPIG000520.3	CRO_02G000310.1
		
		
	Gelse_mpi.v2.5_MPIG000500.1	
		CRO_02G000320.1
AT2G47190.1		
		
		
AT1G02420.1		
AT4G01900.1	Gelse_mpi.v2.5_MPIG000480.2	CRO_02G000330.1
		
AT3G62280.1		
		
		
		
		
		
		
AT2G47180.1	Gelse_mpi.v2.5_MPIG000470.2	CRO_02G000340.1
AT4G01897.1	Gelse_mpi.v2.5_MPIG000490.30	
		
		
		
		
		
AT1G02460.1	Gelse_mpi.v2.5_MPIG000450.1	CRO_02G000350.1
AT4G01890.1	Gelse_mpi.v2.5_MPIG000450.1	CRO_02G000350.1
		
AT2G47160.2	Gelse_mpi.v2.5_MPIG000460.1	
AT3G62270.1	Gelse_mpi.v2.5_MPIG000460.1	
AT4G01895.1		
		
		
		
		
		
AT3G62260.2	Gelse_mpi.v2.5_MPIG000430.2	CRO_02G000370.2
		
		
AT2G47130.1	Gelse_mpi.v2.5_MPIG000400.1	
AT1G02470.2	Gelse_mpi.v2.5_MPIG000420.1	CRO_02G000380.2
AT4G01883.1	Gelse_mpi.v2.5_MPIG000420.1	CRO_02G000380.2
		
	Gelse_mpi.v2.5_MPIG000410.1	
AT2G47115.1	Gelse_mpi.v2.5_MPIG000390.1	CRO_02G000390.1
		
		
		
		
		
		
		
		
AT4G01880.1		CRO_02G000400.1
		
		
		
		
AT2G47090.1	Gelse_mpi.v2.5_MPIG000360.1	CRO_02G000410.1
AT3G62240.1	Gelse_mpi.v2.5_MPIG000360.1	CRO_02G000410.1
AT2G47110.1	Gelse_mpi.v2.5_MPIG000370.1	
AT3G62250.1	Gelse_mpi.v2.5_MPIG000370.1	
	Gelse_mpi.v2.5_MPIG000350.1	CRO_02G000420.1
AT4G01870.1		
		
		CRO_02G000430.1
	Gelse_mpi.v2.5_MPIG000330.1	
		
		
		
AT3G62230.1		
		
		
		
AT4G01860.1	Gelse_mpi.v2.5_MPIG000340.1	CRO_02G000440.9
		
		
		
		
		
		
		
		
		
AT2G47070.1	Gelse_mpi.v2.5_MPIG000320.4	CRO_02G000450.8
		
		
		
		
		
		
AT3G60940.1	Gelse_mpi.v2.5_MPIG000300.3	
AT3G62210.1	Gelse_mpi.v2.5_MPIG000300.3	
AT2G47060.4	Gelse_mpi.v2.5_MPIG000310.2	CRO_02G000460.1
AT3G62220.1	Gelse_mpi.v2.5_MPIG000310.2	CRO_02G000460.1
		
AT2G47050.1		
		
AT3G62190.1	Gelse_mpi.v2.5_MPIG000290.1	CRO_02G000470.2
AT4G01840.1		
		
AT2G47040.1	Gelse_mpi.v2.5_MPIG000280.1	CRO_02G000480.2
AT3G62170.1	Gelse_mpi.v2.5_MPIG000280.1	CRO_02G000480.2
AT3G62180.1		
		
		
	Gelse_mpi.v2.5_MPIG000270.1	
AT2G47000.1	Gelse_mpi.v2.5_MPIG000240.2	
AT1G02520.1	Gelse_mpi.v2.5_MPIG000240.2	
AT3G62150.1	Gelse_mpi.v2.5_MPIG000240.2	
AT4G01830.1	Gelse_mpi.v2.5_MPIG000240.2	
AT2G47020.1		CRO_02G000490.1
AT3G62160.1		
	Gelse_mpi.v2.5_MPIG000260.1	
		
		
		
		
AT2G47010.1	Gelse_mpi.v2.5_MPIG000250.5	CRO_02G000500.1
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG000230.1	
		
AT3G62140.1	Gelse_mpi.v2.5_MPIG000220.1	CRO_02G000510.1
		
		
		
		
		
AT3G62130.1	Gelse_mpi.v2.5_MPIG000210.1	
		
		
	Gelse_mpi.v2.5_MPIG000200.1	
		
		
AT3G62120.1		
		
		
AT4G01810.1	Gelse_mpi.v2.5_MPIG000190.2	CRO_02G000520.1
AT3G62110.1		
AT2G46990.1	Gelse_mpi.v2.5_MPIG000160.1	
AT3G62100.1	Gelse_mpi.v2.5_MPIG000160.1	
		
		
		
AT3G62097.1		
		CRO_02G000530.1
AT3G62090.2		
		
		
		
AT3G62080.2	Gelse_mpi.v2.5_MPIG000120.1	
AT2G46940.1		
AT3G62070.1		
AT4G01800.2	Gelse_mpi.v2.5_MPIG000180.1	CRO_02G000540.1
AT4G01790.1		
AT4G01780.1		
		
AT4G01650.1	Gelse_mpi.v2.5_MPIG000070.2	
AT4G01750.1		
		
AT4G01735.1		
AT3G62040.1	Gelse_mpi.v2.5_MPIG000080.2	
AT4G01730.1	Gelse_mpi.v2.5_MPIG000170.1	CRO_02G000550.1
		
AT3G62030.2		
		
AT4G01720.1		
	Gelse_mpi.v2.5_MPIG000140.1	
AT3G62010.1	Gelse_mpi.v2.5_MPIG000020.1	CRO_02G000560.3
AT4G01710.1		
	Gelse_mpi.v2.5_MPIG000110.1	
	Gelse_mpi.v2.5_MPIG000100.1	
AT4G01703.1		
AT4G01660.1	Gelse_mpi.v2.5_MPIG000090.1	CRO_02G000570.1
		
AT4G01670.1		
AT1G02360.1		
AT4G01700.1		
AT4G01671.1		
AT2G46950.1		
AT4G01680.2		
AT2G46980.2	Gelse_mpi.v2.5_MPIG000130.12	
AT4G01690.1	Gelse_mpi.v2.5_MPIG000150.1	CRO_02G000580.2
		CRO_02G000590.3
		CRO_02G000600.1
		CRO_02G000610.1
AT3G62390.1	Gelse_mpi.v2.5_MPIG000880.1	CRO_02G000620.1
		
		
		
AT2G47370.1	Gelse_mpi.v2.5_MPIG000890.1	CRO_02G000630.1
	Gelse_mpi.v2.5_MPIG000900.1	
		CRO_02G000640.1
AT3G62400.2		
		
AT2G47380.1		CRO_02G000650.1
		
AT2G47390.1	Gelse_mpi.v2.5_MPIG000910.1	
	Gelse_mpi.v2.5_MPIG000920.1	CRO_02G000660.1
AT2G47400.1	Gelse_mpi.v2.5_MPIG000930.2	CRO_02G000670.1
AT3G62410.1	Gelse_mpi.v2.5_MPIG000930.2	CRO_02G000670.1
		
AT3G62420.1	Gelse_mpi.v2.5_MPIG000940.1	CRO_02G000680.1
AT3G62422.1		
		
AT4G02030.2	Gelse_mpi.v2.5_MPIG000950.1	CRO_02G000690.1
		
AT4G02040.1		
AT4G02050.1		
AT4G02060.1	Gelse_mpi.v2.5_MPIG000960.1	CRO_02G000700.1
AT3G62450.1		
		
AT3G61090.1		
AT3G62460.1		
AT2G47410.1	Gelse_mpi.v2.5_MPIG000970.1	CRO_02G000710.1
AT3G62470.1		
AT3G62499.1		
		
		
AT3G62500.1		
		
AT3G62510.1		
AT4G02070.1	Gelse_mpi.v2.5_MPIG000990.1	CRO_02G000730.1
AT3G62528.1		
AT3G62530.1		
AT1G02610.1	Gelse_mpi.v2.5_MPIG001000.2	CRO_02G000740.2
AT4G02075.1	Gelse_mpi.v2.5_MPIG001000.2	CRO_02G000740.2
		
		
		
		
AT3G62560.1	Gelse_mpi.v2.4_MPIG006970.1,Gelse_mpi.v2.5_MPIG001020.1	CRO_08G019460.1
AT4G02080.1	Gelse_mpi.v2.4_MPIG006970.1,Gelse_mpi.v2.5_MPIG001020.1	CRO_08G019460.1
		
		CRO_02G000760.1
		
		
AT4G02090.1	Gelse_mpi.v2.5_MPIG001030.1	CRO_02G000770.1
		
		
		
		
AT1G02640.1	Gelse_mpi.v2.5_MPIG001040.2	CRO_02G000780.1
		
		
AT2G47440.1	Gelse_mpi.v2.5_MPIG001060.1	CRO_02G000790.1
AT3G62570.1	Gelse_mpi.v2.5_MPIG001060.1	CRO_02G000790.1
AT4G02100.1	Gelse_mpi.v2.5_MPIG001060.1	CRO_02G000790.1
AT1G02650.1	Gelse_mpi.v2.5_MPIG001060.1	CRO_02G000790.1
		
AT4G02110.1	Gelse_mpi.v2.5_MPIG001070.3	CRO_02G000800.1
		
AT3G62580.1	Gelse_mpi.v2.5_MPIG001080.1	CRO_02G000810.1
AT3G17670.2	Gelse_mpi.v2.2_MPIG025030.1	CRO_02G000820.2
		
		
		
	Gelse_mpi.v2.2_MPIG024960.1	
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG025280.6	CRO_02G000830.1
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG025290.3	
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG025430.1	CRO_02G000840.1
		
		
		CRO_02G000850.1
	Gelse_mpi.v2.2_MPIG025410.1	
		
	Gelse_mpi.v2.2_MPIG025400.2	CRO_02G000860.1
	Gelse_mpi.v2.2_MPIG025370.1	
		
	Gelse_mpi.v2.2_MPIG025360.1	
		
	Gelse_mpi.v2.2_MPIG025300.1	
		
		
		CRO_02G000870.1
		
AT1G73220.1	Gelse_mpi.v2.2_MPIG025420.1	
		
	Gelse_mpi.v2.2_MPIG025230.1	
	Gelse_mpi.v2.2_MPIG025210.1	
	Gelse_mpi.v2.2_MPIG025200.2	
		
	Gelse_mpi.v2.2_MPIG025140.1	
		
		
	Gelse_mpi.v2.2_MPIG025100.1	
	Gelse_mpi.v2.2_MPIG025080.1	
		
		CRO_02G000890.1
		
	Gelse_mpi.v2.2_MPIG025060.1	
	Gelse_mpi.v2.2_MPIG025050.1	
		
		
		CRO_02G000900.3
		
		
	Gelse_mpi.v2.2_MPIG024900.1	
	Gelse_mpi.v2.2_MPIG024860.1	
	Gelse_mpi.v2.2_MPIG024850.1	
		
	Gelse_mpi.v2.2_MPIG024820.1	
		
		
		
		
		
		
		
	Gelse_mpi.v2.2_MPIG024740.1	
		
	Gelse_mpi.v2.2_MPIG024730.1	
		
		
		
	Gelse_mpi.v2.2_MPIG024710.1	
		
	Gelse_mpi.v2.2_MPIG024680.2	
		
	Gelse_mpi.v2.2_MPIG024660.1	
		
		
	Gelse_mpi.v2.2_MPIG024630.2	CRO_02G000930.2
		CRO_02G000940.1
	Gelse_mpi.v2.2_MPIG024620.1	
		
		
		
	Gelse_mpi.v2.2_MPIG024610.1	CRO_02G000960.1
	Gelse_mpi.v2.2_MPIG024600.1	
		
		CRO_02G000970.1
		
	Gelse_mpi.v2.2_MPIG024590.1	
		
	Gelse_mpi.v2.2_MPIG024570.2	
	Gelse_mpi.v2.2_MPIG024560.1	
	Gelse_mpi.v2.2_MPIG024550.1	
	Gelse_mpi.v2.2_MPIG024540.1	
	Gelse_mpi.v2.2_MPIG024500.1	
AT3G62550.1	Gelse_mpi.v2.4_MPIG006940.1,Gelse_mpi.v2.5_MPIG001010.1,Gelse_mpi.v2.2_MPIG024480.1	CRO_02G000750.2
	Gelse_mpi.v2.2_MPIG024450.1	
	Gelse_mpi.v2.2_MPIG024440.1	
		CRO_02G001040.1
		CRO_02G001060.1
AT2G30105.1	Gelse_mpi.v2.5_MPIG009480.3	CRO_02G001120.1,CRO_04G001670.1
		
AT5G58530.1	Gelse_mpi.v2.5_MPIG009490.3	CRO_02G001130.1
		
		
		
		
	Gelse_mpi.v2.5_MPIG009500.2	CRO_02G001140.1
		
		
AT5G58540.1		
		
	Gelse_mpi.v2.5_MPIG009510.3	CRO_02G001150.3
AT2G30100.1	Gelse_mpi.v2.5_MPIG009520.1	CRO_02G001160.2
		
		
	Gelse_mpi.v2.5_MPIG009530.1	
		
		
		
AT5G58550.1		
	Gelse_mpi.v2.5_MPIG009540.1	CRO_02G001170.1
		
	Gelse_mpi.v2.5_MPIG009550.1	CRO_02G001180.1
		
		
AT5G58560.1	Gelse_mpi.v2.5_MPIG009560.2	CRO_02G001190.1
		
	Gelse_mpi.v2.5_MPIG009570.1	
		
		
AT5G58570.1	Gelse_mpi.v2.5_MPIG009580.1	CRO_02G001200.1
		
		
		
AT5G58575.1	Gelse_mpi.v2.5_MPIG009590.3	CRO_02G001210.1
	Gelse_mpi.v2.5_MPIG009710.1	CRO_02G001220.1
AT1G07120.1	Gelse_mpi.v2.5_MPIG009700.8	CRO_02G001230.4
		
		
		
AT1G07110.1	Gelse_mpi.v2.5_MPIG009690.2	CRO_02G001240.1
		
	Gelse_mpi.v2.5_MPIG009680.1	CRO_02G001250.1
	Gelse_mpi.v2.5_MPIG009660.1	
	Gelse_mpi.v2.5_MPIG009650.1	CRO_02G001260.1
AT5G58580.1		
		
		CRO_02G001270.1
		
		
AT2G30080.1	Gelse_mpi.v2.5_MPIG009640.1	CRO_02G001280.3
AT1G07130.1	Gelse_mpi.v2.5_MPIG010440.1	
		
AT2G30090.1	Gelse_mpi.v2.5_MPIG009630.1	CRO_02G001290.1
		
AT1G07135.1		
	Gelse_mpi.v2.5_MPIG009620.1	CRO_02G001300.1
		
AT2G30070.1	Gelse_mpi.v2.5_MPIG009720.6	CRO_02G001310.1
		
		
		
AT5G58590.1	Gelse_mpi.v2.5_MPIG009730.1	CRO_02G001320.1
AT1G07140.1	Gelse_mpi.v2.5_MPIG009730.1	CRO_02G001320.1
AT2G30060.1	Gelse_mpi.v2.5_MPIG009730.1	CRO_02G001320.1
		
		
		
AT2G30050.1		
	Gelse_mpi.v2.5_MPIG009740.1	CRO_02G001330.1
AT1G07150.1		
AT2G30040.1		
		
		
	Gelse_mpi.v2.5_MPIG009750.1	
		
		
		
AT2G30032.1		
		
		
AT1G07160.1	Gelse_mpi.v2.5_MPIG009760.2	CRO_02G001350.1
AT2G30020.1	Gelse_mpi.v2.5_MPIG009760.2	CRO_02G001350.1
		
		
		
		
		
		
		
		
		
		
AT3G47340.1	Gelse_mpi.v2.5_MPIG009770.1	CRO_02G001360.1
		
		
AT1G07170.1	Gelse_mpi.v2.5_MPIG009800.4	
AT2G30010.1		
AT5G58600.1		CRO_02G001370.1
		
		
		
		
		
AT5G58610.1	Gelse_mpi.v2.5_MPIG009780.5	CRO_02G001380.5
		
		
		
		
AT3G47300.1		
		
		
		
		
		
AT2G30000.1		CRO_02G001390.2
AT1G07175.1	Gelse_mpi.v2.5_MPIG009790.1	
AT2G29995.1	Gelse_mpi.v2.5_MPIG009790.1	
		
		
		
AT1G07180.1		CRO_02G001400.2
AT2G29990.1		CRO_02G001400.2
		
		
		
AT3G47295.1		
	Gelse_mpi.v2.5_MPIG009810.1	
AT2G29980.1	Gelse_mpi.v2.5_MPIG009820.2	CRO_02G001410.9
		
		
		
AT5G58630.1	Gelse_mpi.v2.5_MPIG009830.1	CRO_02G001420.1
AT1G07190.1		
		
AT5G58640.1		
AT5G58620.1	Gelse_mpi.v2.5_MPIG009840.2	CRO_02G001430.1
AT5G58650.1		
		
		CRO_02G001440.1
		
AT3G47190.1		
AT5G58660.1		
		
AT5G58670.1		
		
AT1G07200.2	Gelse_mpi.v2.5_MPIG009850.1	CRO_02G001450.1
AT2G29970.1	Gelse_mpi.v2.5_MPIG009850.1	CRO_02G001450.1
		
		
		
AT5G58680.1		
		
AT1G07210.1	Gelse_mpi.v2.5_MPIG009860.1	CRO_02G001460.4
AT5G58690.1		
		
		
AT5G58700.1	Gelse_mpi.v2.5_MPIG009870.1	CRO_02G001470.1
AT3G47220.1		
		
		
		CRO_02G001500.1
AT3G47210.1		
AT5G58710.1	Gelse_mpi.v2.5_MPIG009920.1	CRO_02G001510.3
AT2G29960.1	Gelse_mpi.v2.5_MPIG009920.1	CRO_02G001510.3
		CRO_02G001530.1
AT1G07220.1	Gelse_mpi.v2.5_MPIG009890.1	CRO_02G001540.1
		
	Gelse_mpi.v2.5_MPIG009880.1	CRO_02G001550.2
		
		
		
		CRO_02G001560.2
	Gelse_mpi.v2.5_MPIG009900.2	
		
		
		
		
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG009910.2	
AT3G47180.1		
		
		
		
		
AT2G29950.1	Gelse_mpi.v2.5_MPIG009930.5	CRO_02G001590.3
		
AT5G58720.1	Gelse_mpi.v2.5_MPIG009940.3	CRO_02G001600.1
		
		
		
		
AT3G47170.1		
		
		
AT5G58730.1	Gelse_mpi.v2.5_MPIG009950.1	CRO_02G001610.1
		
AT5G58740.1	Gelse_mpi.v2.5_MPIG009960.1	CRO_02G001620.1
		
		
		
		
		
AT3G47160.2	Gelse_mpi.v2.5_MPIG010090.4	CRO_02G001630.2
AT5G58787.1	Gelse_mpi.v2.5_MPIG010090.4	CRO_02G001630.2
	Gelse_mpi.v2.5_MPIG010010.1	
		
		
		
		
		
AT5G58760.1	Gelse_mpi.v2.5_MPIG010040.1	CRO_02G001640.2
		
AT2G29940.1	Gelse_mpi.v2.5_MPIG010050.1	CRO_02G001650.5
		
		
		
	Gelse_mpi.v2.5_MPIG010020.1	CRO_02G001660.1
AT5G58770.1		
		
	Gelse_mpi.v2.5_MPIG010060.1	CRO_02G001670.1
		
AT2G29920.1		
AT5G58750.1	Gelse_mpi.v2.5_MPIG009980.1	CRO_02G001690.1
	Gelse_mpi.v2.5_MPIG009970.4	CRO_02G001700.2
AT5G58782.1		
		
		CRO_02G001720.1
AT2G29900.1		
AT3G47120.1	Gelse_mpi.v2.5_MPIG010140.1	CRO_02G001730.1
AT2G29890.3	Gelse_mpi.v2.5_MPIG010130.2	CRO_02G001740.1
AT2G29880.1		
AT2G29870.1		
		
		
AT1G07230.1	Gelse_mpi.v2.5_MPIG010120.3	CRO_02G001750.1
		
AT2G29840.1		
		
		
		
		
AT2G29800.1		
		CRO_02G001760.2
		
AT3G47110.1		
		
AT2G29790.1		
		
		
		
		
AT5G58790.2		
		
	Gelse_mpi.v2.5_MPIG010160.1	
	Gelse_mpi.v2.5_MPIG010100.2	CRO_02G001770.1
AT2G29760.1		CRO_02G001710.2
		
		
AT2G29720.1		
AT2G29710.1		
AT2G29700.1	Gelse_mpi.v2.5_MPIG010170.1	CRO_02G001780.1
AT1G07250.1		
AT2G29750.1		
		
		
AT3G47100.1		
AT5G58800.1		CRO_02G001790.1
		
	Gelse_mpi.v2.5_MPIG010180.2	
AT2G29690.1		CRO_02G001800.1
		
		
		
	Gelse_mpi.v2.5_MPIG010190.1	CRO_02G001810.2
	Gelse_mpi.v2.5_MPIG010200.1	
		
AT1G07270.1	Gelse_mpi.v2.5_MPIG010210.1	CRO_02G001820.2
AT2G29680.1	Gelse_mpi.v2.5_MPIG010210.1	CRO_02G001820.2
		
		
AT2G29679.1		
	Gelse_mpi.v2.5_MPIG010220.1	
		
		
		
		
		
AT1G07280.1	Gelse_mpi.v2.5_MPIG010230.1	CRO_02G001830.1
AT2G29670.1	Gelse_mpi.v2.5_MPIG010230.1	CRO_02G001830.1
		
		
		
		
		
AT5G58850.1	Gelse_mpi.v2.5_MPIG010240.1	CRO_02G001840.1
		
		
		
AT3G47080.1		
AT1G07290.1	Gelse_mpi.v2.5_MPIG010250.7	CRO_02G001850.2
		
		
		
		
AT2G29660.1	Gelse_mpi.v2.5_MPIG010260.1	CRO_02G001860.1
		
		
		
AT2G29654.1		
		
		
		
AT5G58860.1		
AT2G29650.1	Gelse_mpi.v2.5_MPIG010270.1	CRO_02G001870.2
		
		
		
		
AT3G47070.1	Gelse_mpi.v2.5_MPIG010280.1	CRO_02G001880.1
		
		
		
	Gelse_mpi.v2.5_MPIG010290.1	CRO_02G001890.1
		
		
		
		
AT3G47060.1		
AT5G58870.1		
AT1G07300.1	Gelse_mpi.v2.5_MPIG010300.1	CRO_02G001900.1
		
		
		
AT2G29640.1	Gelse_mpi.v2.5_MPIG010310.5	CRO_02G001910.3
		
AT1G07310.1		
		
		
		
AT1G07320.1	Gelse_mpi.v2.5_MPIG010320.2	CRO_02G001920.1
		
		
	Gelse_mpi.v2.5_MPIG010330.1	
AT2G29630.2	Gelse_mpi.v2.5_MPIG010340.3	CRO_02G001930.2
		
		
AT2G29628.1		
		
		
AT5G58880.1	Gelse_mpi.v2.5_MPIG010350.1	CRO_02G001940.1
AT1G07330.1	Gelse_mpi.v2.5_MPIG010350.1	CRO_02G001940.1
AT2G29620.1	Gelse_mpi.v2.5_MPIG010350.1	CRO_02G001940.1
		
		
		
AT1G07340.1	Gelse_mpi.v2.5_MPIG010360.1	CRO_02G001950.1
		
		
AT5G58890.1		
AT3G47040.2	Gelse_mpi.v2.5_MPIG010380.1	CRO_02G001960.1
		
		
		CRO_02G001970.1
		
		
AT2G29605.1		
		
AT5G58900.1	Gelse_mpi.v2.5_MPIG010390.4	CRO_02G001990.1
	Gelse_mpi.v2.5_MPIG010400.1	
		
		
		
		
AT5G58910.1	Gelse_mpi.v2.5_MPIG010410.2	CRO_02G002000.1
		
		
		
		CRO_02G002010.4
	Gelse_mpi.v2.5_MPIG010420.1	
		
		
		
		
AT5G58920.1		CRO_02G002020.2
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG010430.1	CRO_02G002040.4
		
		
		
AT5G58930.1		
	Gelse_mpi.v2.5_MPIG010450.1	CRO_02G002050.1
AT3G46990.1		
		
		
		CRO_02G002060.1
		
		
		
AT2G29590.1	Gelse_mpi.v2.5_MPIG010460.1	
		
AT3G46980.3	Gelse_mpi.v2.5_MPIG010470.1	CRO_02G002070.5
		
		
		
AT5G58940.1		CRO_02G002080.2
		
AT3G46970.1		CRO_02G002090.2
		
		
AT1G07350.1	Gelse_mpi.v2.5_MPIG010480.2	CRO_02G002100.1
		
		
AT5G58950.1		
		
		
		
AT1G07360.1		
AT2G29580.1		
AT3G46960.1	Gelse_mpi.v2.5_MPIG010490.1	CRO_02G002110.2
		
		
	Gelse_mpi.v2.5_MPIG010500.1	CRO_02G002120.1
		
		
		
AT5G58960.1	Gelse_mpi.v2.5_MPIG010510.2	CRO_02G002130.2
		
		
		
AT5G58970.1	Gelse_mpi.v2.5_MPIG010520.1	CRO_02G002140.4
AT3G46950.1		
		
		
		
AT1G07370.1	Gelse_mpi.v2.5_MPIG010530.2	CRO_02G002150.1
AT2G29570.1	Gelse_mpi.v2.5_MPIG010530.2	CRO_02G002150.1
		
		
		
		
		
		
AT2G29560.1	Gelse_mpi.v2.5_MPIG010540.1	CRO_02G002160.3
		
		
		
		
		
AT5G58980.1	Gelse_mpi.v2.5_MPIG010550.1	CRO_02G002170.2
AT1G07380.1	Gelse_mpi.v2.5_MPIG010550.1	CRO_02G002170.2
AT3G46940.1		
		
	Gelse_mpi.v2.5_MPIG010560.1	
		
		
	Gelse_mpi.v2.5_MPIG010570.15	CRO_02G002180.8
		
	Gelse_mpi.v2.5_MPIG010580.1	CRO_02G002190.1
		
		
		
AT5G58990.1	Gelse_mpi.v2.5_MPIG010590.2	CRO_02G002200.3
AT3G46930.1		
		
AT2G29550.1		
		
		CRO_02G002210.2
		
		
	Gelse_mpi.v2.5_MPIG010620.1	CRO_02G002230.2
AT3G46920.1		
		
		
		
AT5G59000.1	Gelse_mpi.v2.5_MPIG010630.1	CRO_02G002250.1
		
AT2G29540.3	Gelse_mpi.v2.5_MPIG010640.1	CRO_02G002260.4
		
		
		
AT3G46910.1		
AT2G29530.3	Gelse_mpi.v2.5_MPIG010650.2	CRO_02G002270.3
		
AT5G59010.1	Gelse_mpi.v2.5_MPIG010660.4	CRO_02G002280.4
		
		
		
AT5G59020.1	Gelse_mpi.v2.5_MPIG010670.1	CRO_02G002290.5
AT2G29510.1	Gelse_mpi.v2.5_MPIG010670.1	CRO_02G002290.5
		
	Gelse_mpi.v2.5_MPIG010680.1	
		
		
		
		
	Gelse_mpi.v2.5_MPIG010690.1	
AT3G46904.1		
		
		
		
	Gelse_mpi.v2.5_MPIG010700.1	
		
		
		
	Gelse_mpi.v2.5_MPIG010710.2	
AT1G07400.1	Gelse_mpi.v2.5_MPIG010750.1	CRO_02G002390.1
AT2G29500.1	Gelse_mpi.v2.5_MPIG010750.1	CRO_02G002390.1
	Gelse_mpi.v2.5_MPIG010730.1	
AT2G29525.1		
		
		
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG010770.1	
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG010780.1	
AT3G46901.1		
	Gelse_mpi.v2.5_MPIG010790.1	CRO_02G002330.1
		
		
		
		
		
		
		
		
	Gelse_mpi.v2.5_MPIG010810.1	CRO_02G002340.1
		
AT3G46900.1	Gelse_mpi.v2.5_MPIG010820.1	CRO_02G002360.1
AT5G59030.1	Gelse_mpi.v2.5_MPIG010820.1	CRO_02G002360.1
		
		
AT3G46890.1	Gelse_mpi.v2.5_MPIG010840.1	
AT5G59050.1	Gelse_mpi.v2.5_MPIG010830.6	CRO_02G002400.2
		
		
		
AT5G59070.1	Gelse_mpi.v2.5_MPIG010850.1	CRO_02G002420.1
AT2G29460.1		
AT3G46870.1		
AT2G29452.1		
		
		
		
		
		
		
