A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT2G01420,Gelse_mpi.v2.5_MPIG025550.1,CRO_02G012960.2,Auxin efflux carrier family protein,"Encodes a putative auxin efflux carrier that is localized in developing and mature root meristems.  It is involved in the maintenance of embryonic auxin gradients.  A role for AtPIN4 in generating a sink for auxin below the quiescent center of the root meristem that is essential for auxin distribution and patterning is proposed. In the root, PIN4 is detected around the quiescent center and cells surrounding it, and localizes basally in provascular cells. PIN4 expression is upregulated in brassinosteroid-insensitive mutant (PMID 16141452).",Epidermis,PIN4,Leaf,Lee et al 2025,18
AT1G23090,Gelse_mpi.v2.5_MPIG025340.1,CRO_02G013420.2,sulfate transporter 91,Encodes AST91 mRNA for sulfate transporter.,Xylem Parenchyma,AST91,Leaf,Lee et al 2025,3
AT1G23090,Gelse_mpi.v2.5_MPIG025340.1,CRO_02G013420.2,sulfate transporter 91,Encodes AST91 mRNA for sulfate transporter.,Xylem Parenchyma,AST91,Leaf,Lee et al 2025,6
AT1G23090,Gelse_mpi.v2.5_MPIG025340.1,CRO_02G013420.2,sulfate transporter 91,Encodes AST91 mRNA for sulfate transporter.,Xylem Parenchyma,AST91,Leaf,Lee et al 2025,12
AT1G23090,Gelse_mpi.v2.5_MPIG025340.1,CRO_02G013420.2,sulfate transporter 91,Encodes AST91 mRNA for sulfate transporter.,Xylem Parenchyma,AST91,Leaf,Lee et al 2025,18
AT1G68570,Gelse_mpi.v2.5_MPIG027490.1,CRO_02G015790.1,Major facilitator superfamily protein,NA,Procambium_XP,AT1G68570,Leaf,Lee et al 2025,3
AT1G68570,Gelse_mpi.v2.5_MPIG027490.1,CRO_02G015790.1,Major facilitator superfamily protein,NA,Procambium_XP,AT1G68570,Leaf,Lee et al 2025,17
AT1G14630,Gelse_mpi.v2.5_MPIG020290.2,CRO_02G016860.2,NA,NA,Procambium_PP,AT1G14630,Leaf,Lee et al 2025,4
AT1G14630,Gelse_mpi.v2.5_MPIG020290.2,CRO_02G016860.2,NA,NA,Procambium_PP,AT1G14630,Leaf,Lee et al 2025,9
AT5G08260,Gelse_mpi.v2.5_MPIG033840.7,CRO_02G019970.1,serine carboxypeptidase-like 35,NA,Epidermis,scpl35,Leaf,Lee et al 2025,1
AT5G08260,Gelse_mpi.v2.5_MPIG033840.7,CRO_02G019970.1,serine carboxypeptidase-like 35,NA,Epidermis,scpl35,Leaf,Lee et al 2025,4
AT5G08260,Gelse_mpi.v2.5_MPIG033840.7,CRO_02G019970.1,serine carboxypeptidase-like 35,NA,Epidermis,scpl35,Leaf,Lee et al 2025,8
AT5G08260,Gelse_mpi.v2.5_MPIG033840.7,CRO_02G019970.1,serine carboxypeptidase-like 35,NA,Epidermis,scpl35,Leaf,Lee et al 2025,9
AT5G23420,Gelse_mpi.v2.3_MPIG004440.1,CRO_02G021250.1,high-mobility group box 6,"Encodes HMGB6, a protein belonging to the subgroup of HMGB (high mobility group B) proteins.  Localized in the nucleus. Binds to supercoiled DNA in vitro. HMGB6 is phosphorylated by protein kinase CK2alpha within its acidic C-terminal domain.",Mesophyll,HMGB6,Leaf,Lee et al 2025,11
AT1G25530,Gelse_mpi.v2.5_MPIG027940.1,CRO_02G021680.2,Transmembrane amino acid transporter family protein,NA,Procambium_XP,AT1G25530,Leaf,Lee et al 2025,9
AT1G69450,Gelse_mpi.v2.5_MPIG030150.1,CRO_02G024620.1,Early-responsive to dehydration stress protein (ERD4),NA,Epidermis,AT1G69450,Leaf,Lee et al 2025,13
AT1G26960,Gelse_mpi.v2.5_MPIG030940.5,CRO_02G025460.3,homeobox protein 23,Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.,Epidermis,AtHB23,Leaf,Lee et al 2025,20
AT1G69780,Gelse_mpi.v2.5_MPIG030940.5,CRO_02G025460.3,Homeobox-leucine zipper protein family,Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.,Epidermis,ATHB13,Leaf,Lee et al 2025,20
AT1G24020,Gelse_mpi.v2.5_MPIG032210.1,CRO_02G026670.1,MLP-like protein 423,NA,Trichome,AT1G24020,Leaf,Lee et al 2025,1
AT1G24020,Gelse_mpi.v2.5_MPIG032210.1,CRO_02G026670.1,MLP-like protein 423,NA,Trichome,AT1G24020,Leaf,Lee et al 2025,7
AT1G24020,Gelse_mpi.v2.5_MPIG032210.1,CRO_02G026670.1,MLP-like protein 423,NA,Trichome,AT1G24020,Leaf,Lee et al 2025,15
AT1G27950,Gelse_mpi.v2.5_MPIG016540.2,CRO_02G029050.1,glycosylphosphatidylinositol-anchored lipid protein transfer 1,"Encodes LTPG1, a lipid transfer protein with a predicted GPI (glycosylphosphatidylinositol)-anchor domain.  Localized in the plasma membrane. Disruption of the LTPG1 gene causes alterations of cuticular lipid composition, but no significant changes on total wax and cutin monomer loads are seen.",Epidermis,LTPG1,Leaf,Lee et al 2025,1
AT1G27950,Gelse_mpi.v2.5_MPIG016540.2,CRO_02G029050.1,glycosylphosphatidylinositol-anchored lipid protein transfer 1,"Encodes LTPG1, a lipid transfer protein with a predicted GPI (glycosylphosphatidylinositol)-anchor domain.  Localized in the plasma membrane. Disruption of the LTPG1 gene causes alterations of cuticular lipid composition, but no significant changes on total wax and cutin monomer loads are seen.",Epidermis,LTPG1,Leaf,Lee et al 2025,7
AT1G27950,Gelse_mpi.v2.5_MPIG016540.2,CRO_02G029050.1,glycosylphosphatidylinositol-anchored lipid protein transfer 1,"Encodes LTPG1, a lipid transfer protein with a predicted GPI (glycosylphosphatidylinositol)-anchor domain.  Localized in the plasma membrane. Disruption of the LTPG1 gene causes alterations of cuticular lipid composition, but no significant changes on total wax and cutin monomer loads are seen.",Epidermis,LTPG1,Leaf,Lee et al 2025,15
AT1G67320,Gelse_mpi.v2.5_MPIG033500.1,CRO_02G029210.2,"DNA primase, large subunit family",NA,Mesophyll,EMB2813,Leaf,Lee et al 2025,11
AT5G13420,Gelse_mpi.v2.5_MPIG019300.1,CRO_02G029880.5,Aldolase-type TIM barrel family protein,NA,Epidermis,TRA2,Leaf,Lee et al 2025,5
AT2G37080,Gelse_mpi.v2.8_MPIG029410.2,CRO_03G000340.6,ROP interactive partner 3,NA,Epidermis,RIP2,Leaf,Lee et al 2025,1
AT2G37080,Gelse_mpi.v2.8_MPIG029410.2,CRO_03G000340.6,ROP interactive partner 3,NA,Epidermis,RIP2,Leaf,Lee et al 2025,8
AT2G37080,Gelse_mpi.v2.8_MPIG029410.2,CRO_03G000340.6,ROP interactive partner 3,NA,Epidermis,RIP2,Leaf,Lee et al 2025,16
AT3G48360,Gelse_mpi.v2.2_MPIG028460.1,CRO_03G003520.1,BTB and TAZ domain protein 2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones.",Trichome,AT3G48360,Leaf,Lee et al 2025,3
AT3G48360,Gelse_mpi.v2.2_MPIG028460.1,CRO_03G003520.1,BTB and TAZ domain protein 2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones.",Trichome,AT3G48360,Leaf,Lee et al 2025,6
AT3G48360,Gelse_mpi.v2.2_MPIG028460.1,CRO_03G003520.1,BTB and TAZ domain protein 2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones.",Trichome,AT3G48360,Leaf,Lee et al 2025,8
AT5G63180,Gelse_mpi.v2.2_MPIG028450.1,CRO_03G003530.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT5G63180,Leaf,Lee et al 2025,6
AT5G63180,Gelse_mpi.v2.2_MPIG028450.1,CRO_03G003530.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT5G63180,Leaf,Lee et al 2025,9
AT5G63180,Gelse_mpi.v2.2_MPIG028450.1,CRO_03G003530.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT5G63180,Leaf,Lee et al 2025,12
AT5G63180,Gelse_mpi.v2.2_MPIG028450.1,CRO_03G003530.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT5G63180,Leaf,Lee et al 2025,13
AT5G63180,Gelse_mpi.v2.2_MPIG028450.1,CRO_03G003530.1,Pectin lyase-like superfamily protein,NA,Epidermis,AT5G63180,Leaf,Lee et al 2025,17
AT5G03760,Gelse_mpi.v2.8_MPIG027580.2,CRO_03G005030.1,Nucleotide-diphospho-sugar transferases superfamily protein,encodes a beta-mannan synthase that is required for agrobacterium-mediated plant genetic transformation involves a complex interaction between the bacterium and the host plant. 3' UTR is involved in transcriptional regulation and the gene is expressed in the elongation zone of the root.,Epidermis,ATCSLA09,Leaf,Lee et al 2025,7
AT5G03760,Gelse_mpi.v2.8_MPIG027580.2,CRO_03G005030.1,Nucleotide-diphospho-sugar transferases superfamily protein,encodes a beta-mannan synthase that is required for agrobacterium-mediated plant genetic transformation involves a complex interaction between the bacterium and the host plant. 3' UTR is involved in transcriptional regulation and the gene is expressed in the elongation zone of the root.,Epidermis,ATCSLA09,Leaf,Lee et al 2025,19
AT2G36410,Gelse_mpi.v2.8_MPIG027360.1,CRO_03G005320.1,Family of unknown function (DUF662) ,NA,Procambium_PP,AT2G36410,Leaf,Lee et al 2025,4
AT2G36410,Gelse_mpi.v2.8_MPIG027360.1,CRO_03G005320.1,Family of unknown function (DUF662) ,NA,Procambium_PP,AT2G36410,Leaf,Lee et al 2025,9
AT2G36410,Gelse_mpi.v2.8_MPIG027360.1,CRO_03G005320.1,Family of unknown function (DUF662) ,NA,Procambium_PP,AT2G36410,Leaf,Lee et al 2025,10
AT2G36410,Gelse_mpi.v2.8_MPIG027360.1,CRO_03G005320.1,Family of unknown function (DUF662) ,NA,Procambium_PP,AT2G36410,Leaf,Lee et al 2025,12
AT3G52870,Gelse_mpi.v2.8_MPIG027240.1,CRO_03G005500.3,IQ calmodulin-binding motif family protein,NA,Epidermis,AT3G52870,Leaf,Lee et al 2025,8
AT3G52870,Gelse_mpi.v2.8_MPIG027240.1,CRO_03G005500.3,IQ calmodulin-binding motif family protein,NA,Epidermis,AT3G52870,Leaf,Lee et al 2025,17
AT2G41140,Gelse_mpi.v2.8_MPIG006600.1,CRO_03G009620.1,CDPK-related kinase 1,Encodes CDPK-related kinase 1 (CRK1).,Procambium_PP,CRK1,Leaf,Lee et al 2025,18
AT3G56760,Gelse_mpi.v2.8_MPIG006600.1,CRO_03G009620.1,Protein kinase superfamily protein,NA,Procambium_PP,AT3G56760,Leaf,Lee et al 2025,18
AT2G38120,Gelse_mpi.v2.8_MPIG014240.1,CRO_03G010900.1,Transmembrane amino acid transporter family protein,Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.,Epidermis,AUX1,Leaf,Lee et al 2025,12
AT4G29110,Gelse_mpi.v2.8_MPIG021760.1,CRO_03G015100.1,NA,NA,Epidermis,AT4G29110,Leaf,Lee et al 2025,4
AT1G17100,Gelse_mpi.v2.6_MPIG016980.1,CRO_03G018550.3,SOUL heme-binding family protein,NA,Procambium_XP,HBP1,Leaf,Lee et al 2025,3
AT1G17100,Gelse_mpi.v2.6_MPIG016980.1,CRO_03G018550.3,SOUL heme-binding family protein,NA,Procambium_XP,HBP1,Leaf,Lee et al 2025,6
AT1G17100,Gelse_mpi.v2.6_MPIG016980.1,CRO_03G018550.3,SOUL heme-binding family protein,NA,Procambium_XP,HBP1,Leaf,Lee et al 2025,12
AT1G17145,Gelse_mpi.v2.6_MPIG016700.1,CRO_03G018710.1,RING/U-box superfamily protein,NA,Epidermis,AT1G17145,Leaf,Lee et al 2025,17
AT1G06550,Gelse_mpi.v2.6_MPIG016120.5,CRO_03G019300.5,ATP-dependent caseinolytic (Clp) protease/crotonase family protein,NA,Epidermis,AT1G06550,Leaf,Lee et al 2025,13
AT2G42840,Gelse_mpi.v2.6_MPIG015640.4,CRO_03G019870.1,protodermal factor 1,"Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia.",Trichome,protodermal factor 1,NA,Lee et al 2025,1
AT2G42840,Gelse_mpi.v2.6_MPIG015640.4,CRO_03G019870.1,protodermal factor 1,"Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia.",Trichome,protodermal factor 1,NA,Lee et al 2025,7
AT2G42840,Gelse_mpi.v2.6_MPIG015640.4,CRO_03G019870.1,protodermal factor 1,"Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia.",Trichome,protodermal factor 1,NA,Lee et al 2025,15
AT2G42840,Gelse_mpi.v2.6_MPIG015640.4,CRO_03G019870.1,protodermal factor 1,"Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia.",Trichome,protodermal factor 1,NA,Lee et al 2025,16
AT5G64080,Gelse_mpi.v2.4_MPIG024320.1,CRO_03G024100.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Procambium_PP,XYP1,Leaf,Lee et al 2025,9
AT5G64080,Gelse_mpi.v2.4_MPIG024320.1,CRO_03G024100.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Procambium_PP,XYP1,Leaf,Lee et al 2025,10
AT5G64080,Gelse_mpi.v2.4_MPIG024320.1,CRO_03G024100.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Procambium_PP,XYP1,Leaf,Lee et al 2025,11
AT5G64080,Gelse_mpi.v2.4_MPIG024320.1,CRO_03G024100.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Procambium_PP,XYP1,Leaf,Lee et al 2025,14
AT5G64080,Gelse_mpi.v2.4_MPIG024320.1,CRO_03G024100.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Procambium_PP,XYP1,Leaf,Lee et al 2025,18
AT4G34230,Gelse_mpi.v2.4_MPIG027540.1,CRO_03G026880.2,cinnamyl alcohol dehydrogenase 5,"Encodes a catalytically active cinnamyl alcohol dehydrogenase which uses p-coumaryl aldehyde as a preferred substrate. It can also use sinapyl, caffeyl, coniferyl and d-hydroxyconiferyl aldehydes as substrates.",Mesophyll,CAD5,Leaf,Lee et al 2025,9
AT4G34230,Gelse_mpi.v2.4_MPIG027540.1,CRO_03G026880.2,cinnamyl alcohol dehydrogenase 5,"Encodes a catalytically active cinnamyl alcohol dehydrogenase which uses p-coumaryl aldehyde as a preferred substrate. It can also use sinapyl, caffeyl, coniferyl and d-hydroxyconiferyl aldehydes as substrates.",Mesophyll,CAD5,Leaf,Lee et al 2025,12
AT4G34230,Gelse_mpi.v2.4_MPIG027540.1,CRO_03G026880.2,cinnamyl alcohol dehydrogenase 5,"Encodes a catalytically active cinnamyl alcohol dehydrogenase which uses p-coumaryl aldehyde as a preferred substrate. It can also use sinapyl, caffeyl, coniferyl and d-hydroxyconiferyl aldehydes as substrates.",Mesophyll,CAD5,Leaf,Lee et al 2025,17
AT1G49430,Gelse_mpi.v2.4_MPIG029130.2,CRO_03G028180.1,long-chain acyl-CoA synthetase 2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,Epidermis,LACS2,Leaf,Lee et al 2025,1
AT1G49430,Gelse_mpi.v2.4_MPIG029130.2,CRO_03G028180.1,long-chain acyl-CoA synthetase 2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,Epidermis,LACS2,Leaf,Lee et al 2025,7
AT1G49430,Gelse_mpi.v2.4_MPIG029130.2,CRO_03G028180.1,long-chain acyl-CoA synthetase 2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,Epidermis,LACS2,Leaf,Lee et al 2025,15
AT1G49430,Gelse_mpi.v2.4_MPIG029130.2,CRO_03G028180.1,long-chain acyl-CoA synthetase 2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,Epidermis,LACS2,Leaf,Lee et al 2025,19
AT1G76360,Gelse_mpi.v2.2_MPIG000890.2,CRO_03G029470.2,Protein kinase superfamily protein,NA,Epidermis,AT1G76360,Leaf,Lee et al 2025,17
AT4G03210,Gelse_mpi.v2.6_MPIG009670.1,CRO_03G031550.1,xyloglucan endotransglucosylase/hydrolase 9,"encodes a member of xyloglucan endotransglucosylase/hydrolases (XTHs) that catalyze the cleavage and molecular grafting of xyloglucan chains function in loosening and rearrangement of the cell wall. Gene is expressed in shoot apex region, flower buds, flower stalks and internodes bearing flowers.",Mesophyll,XTH9,Leaf,Lee et al 2025,3
AT4G03210,Gelse_mpi.v2.6_MPIG009670.1,CRO_03G031550.1,xyloglucan endotransglucosylase/hydrolase 9,"encodes a member of xyloglucan endotransglucosylase/hydrolases (XTHs) that catalyze the cleavage and molecular grafting of xyloglucan chains function in loosening and rearrangement of the cell wall. Gene is expressed in shoot apex region, flower buds, flower stalks and internodes bearing flowers.",Mesophyll,XTH9,Leaf,Lee et al 2025,6
AT4G03210,Gelse_mpi.v2.6_MPIG009670.1,CRO_03G031550.1,xyloglucan endotransglucosylase/hydrolase 9,"encodes a member of xyloglucan endotransglucosylase/hydrolases (XTHs) that catalyze the cleavage and molecular grafting of xyloglucan chains function in loosening and rearrangement of the cell wall. Gene is expressed in shoot apex region, flower buds, flower stalks and internodes bearing flowers.",Mesophyll,XTH9,Leaf,Lee et al 2025,9
AT4G03210,Gelse_mpi.v2.6_MPIG009670.1,CRO_03G031550.1,xyloglucan endotransglucosylase/hydrolase 9,"encodes a member of xyloglucan endotransglucosylase/hydrolases (XTHs) that catalyze the cleavage and molecular grafting of xyloglucan chains function in loosening and rearrangement of the cell wall. Gene is expressed in shoot apex region, flower buds, flower stalks and internodes bearing flowers.",Mesophyll,XTH9,Leaf,Lee et al 2025,10
AT3G21700,Gelse_mpi.v2.6_MPIG008590.1,CRO_03G032220.1,Ras-related small GTP-binding family protein,Monomeric G protein. Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.,Trichome,AT3G21700,Leaf,Lee et al 2025,3
AT3G21700,Gelse_mpi.v2.6_MPIG008590.1,CRO_03G032220.1,Ras-related small GTP-binding family protein,Monomeric G protein. Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.,Trichome,AT3G21700,Leaf,Lee et al 2025,6
AT3G11650,Gelse_mpi.v2.8_MPIG026020.1,CRO_04G000620.1,NDR1/HIN1-like 2,Encodes a protein whose sequence is similar to tobacco hairpin-induced gene (HIN1) and Arabidopsis non-race specific disease resistance gene (NDR1). Expression of this gene is induced by cucumber mosaic virus and spermine. Overexpression of the gene induces the expression of PR-1 gene and shows light-dependent 'speck disease-like' symptom on leaves. The gene product is localized to the chloroplast,Epidermis,NHL2,Leaf,Lee et al 2025,17
AT5G06320,Gelse_mpi.v2.8_MPIG026020.1,CRO_04G000620.1,NDR1/HIN1-like 3,"encodes a protein whose sequence is similar to tobacco hairpin-induced gene (HIN1) and Arabidopsis non-race specific disease resistance gene (NDR1). Expression of this gene is induced by cucumber mosaic virus, spermine and Pseudomonas syringae pv. tomato DC3000. The gene product is localized to the plasma membrane.",Trichome,AT5G06320,Leaf,Lee et al 2025,17
AT3G52470,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Epidermis,AT3G52470,Leaf,Lee et al 2025,6
AT3G52470,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Epidermis,AT3G52470,Leaf,Lee et al 2025,13
AT3G52470,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Epidermis,AT3G52470,Leaf,Lee et al 2025,17
AT3G52470,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Epidermis,AT3G52470,Leaf,Lee et al 2025,18
AT5G06330,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Trichome,AT5G06330,Leaf,Lee et al 2025,6
AT5G06330,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Trichome,AT5G06330,Leaf,Lee et al 2025,13
AT5G06330,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Trichome,AT5G06330,Leaf,Lee et al 2025,17
AT5G06330,Gelse_mpi.v2.8_MPIG026010.1,CRO_04G000630.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,NA,Trichome,AT5G06330,Leaf,Lee et al 2025,18
AT3G25250,Gelse_mpi.v2.5_MPIG007160.1,CRO_04G003450.1,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein",Arabidopsis protein kinase,Mesophyll,AGuard cell2-1,Leaf,Lee et al 2025,12
AT4G28780,Gelse_mpi.v2.5_MPIG005920.1,CRO_04G004640.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT4G28780,Leaf,Lee et al 2025,1
AT4G28780,Gelse_mpi.v2.5_MPIG005920.1,CRO_04G004640.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT4G28780,Leaf,Lee et al 2025,7
AT4G28780,Gelse_mpi.v2.5_MPIG005920.1,CRO_04G004640.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT4G28780,Leaf,Lee et al 2025,15
AT1G04040,Gelse_mpi.v2.5_MPIG005450.1,CRO_04G005040.1,"HAD superfamily, subfamily IIIB acid phosphatase ",NA,Epidermis,AT1G04040,Leaf,Lee et al 2025,12
AT3G54560,Gelse_mpi.v2.5_MPIG004200.3,CRO_04G006480.2,histone H2A 11,"Encodes HTA11, a histone H2A protein.",Mesophyll,HTA11,Leaf,Lee et al 2025,10
AT3G54560,Gelse_mpi.v2.5_MPIG004200.3,CRO_04G006480.2,histone H2A 11,"Encodes HTA11, a histone H2A protein.",Mesophyll,HTA11,Leaf,Lee et al 2025,11
AT2G47650,Gelse_mpi.v2.5_MPIG001770.1,CRO_04G008790.1,UDP-xylose synthase 4,"encodes a protein similar to UDP-glucuronic acid decarboxylase. UDP-glucuronic acid decarboxylase produces UDP-xylose, which is a substrate for many cell wall carbohydrates including hemicellulose and pectin. UDP-xylose is also known to feedback regulate several cell wall biosynthetic enzymes.",Epidermis,UXS4,Leaf,Lee et al 2025,17
AT2G47630,Gelse_mpi.v2.5_MPIG001760.7,CRO_04G008810.1,alpha/beta-Hydrolases superfamily protein,NA,Epidermis,AT2G47630,Leaf,Lee et al 2025,20
AT2G47500,Gelse_mpi.v2.5_MPIG001340.1,NA,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain,NA,Cell division,AT2G47500,Seedling,Lee et al 2025,9
AT2G47500,Gelse_mpi.v2.5_MPIG001340.1,NA,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain,NA,Cell division,AT2G47500,Seedling,Lee et al 2025,10
AT2G47500,Gelse_mpi.v2.5_MPIG001340.1,NA,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain,NA,Cell division,AT2G47500,Seedling,Lee et al 2025,19
AT2G26910,Gelse_mpi.v2.8_MPIG022940.1,CRO_04G010140.1,pleiotropic drug resistance 4,NA,Epidermis,ABCG32,Leaf,Lee et al 2025,1
AT2G26910,Gelse_mpi.v2.8_MPIG022940.1,CRO_04G010140.1,pleiotropic drug resistance 4,NA,Epidermis,ABCG32,Leaf,Lee et al 2025,7
AT2G26910,Gelse_mpi.v2.8_MPIG022940.1,CRO_04G010140.1,pleiotropic drug resistance 4,NA,Epidermis,ABCG32,Leaf,Lee et al 2025,15
AT2G26910,Gelse_mpi.v2.8_MPIG022940.1,CRO_04G010140.1,pleiotropic drug resistance 4,NA,Epidermis,ABCG32,Leaf,Lee et al 2025,19
AT5G20230,Gelse_mpi.v2.8_MPIG023900.1,CRO_04G011630.1,blue-copper-binding protein,Al-stress-induced gene,Mesophyll,BCB,Leaf,Lee et al 2025,6
AT5G20230,Gelse_mpi.v2.8_MPIG023900.1,CRO_04G011630.1,blue-copper-binding protein,Al-stress-induced gene,Mesophyll,BCB,Leaf,Lee et al 2025,13
AT5G20270,Gelse_mpi.v2.8_MPIG024280.4,CRO_04G015710.3,heptahelical transmembrane protein1,heptahelical transmembrane protein homologous to human adiponectin receptors and progestin receptors,Epidermis,HHP1,Leaf,Lee et al 2025,7
AT3G53540,Gelse_mpi.v2.8_MPIG011650.4,CRO_04G017120.1,NA,NA,Epidermis,TRM19,Leaf,Lee et al 2025,15
AT3G53620,Gelse_mpi.v2.8_MPIG011810.1,CRO_04G017310.1,pyrophosphorylase 4,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,Procambium_PP,PPa4,Leaf,Lee et al 2025,6
AT3G53620,Gelse_mpi.v2.8_MPIG011810.1,CRO_04G017310.1,pyrophosphorylase 4,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,Procambium_PP,PPa4,Leaf,Lee et al 2025,13
AT3G53620,Gelse_mpi.v2.8_MPIG011810.1,CRO_04G017310.1,pyrophosphorylase 4,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,Procambium_PP,PPa4,Leaf,Lee et al 2025,17
AT5G02490,Gelse_mpi.v2.8_MPIG012030.1,CRO_04G017600.1,Heat shock protein 70 (Hsp 70) family protein,NA,Procambium_PP,Hsp70-2,Leaf,Lee et al 2025,2
AT5G02490,Gelse_mpi.v2.8_MPIG012030.1,CRO_04G017600.1,Heat shock protein 70 (Hsp 70) family protein,NA,Procambium_PP,Hsp70-2,Leaf,Lee et al 2025,4
AT5G02490,Gelse_mpi.v2.8_MPIG012030.1,CRO_04G017600.1,Heat shock protein 70 (Hsp 70) family protein,NA,Procambium_PP,Hsp70-2,Leaf,Lee et al 2025,9
AT5G02490,Gelse_mpi.v2.8_MPIG012030.1,CRO_04G017600.1,Heat shock protein 70 (Hsp 70) family protein,NA,Procambium_PP,Hsp70-2,Leaf,Lee et al 2025,12
AT5G02380,Gelse_mpi.v2.8_MPIG012420.1,CRO_04G017930.1,metallothionein 2B,cysteine-rich protein with copper-binding activity,Vasculature,MET2B,NA,Lee et al 2025,3
